data;
set nodos := L c1 c2 c3 c4 c5 c6 c7 c8 c9 c10 c11 c12 c13 c14 c15 c15;
param Dist:
 L  c1 c2 c3 c4 c5 c6 c7 c8 c9 c10 c11 c12 c13 c14 c15 :=
L . 654.89657585 914.60989228 722.37683789 361.38894856 822.8259183 683.85572581 270.04953645 499.82255534 608.7571715 1043.19548113 236.74174853 1015.09764888 2216.99532811 573.32274428 852.54998494
c1 . . 566.52847814 374.29542375 744.00151921 1205.43848895 1066.46829646 652.6621071 327.91566454 714.2281124 388.29890528 619.35431918 1397.71021953 2165.09903337 129.97239731 504.4685708
c2 . . . 567.29390662 1003.71483564 1371.35066243 1326.18161289 912.37542353 581.38304528 866.30556852 455.15088478 879.06763561 1657.42353596 1717.72243093 695.37709297 257.63403361
c3 . . . . 811.48178125 935.97189418 1133.9485585 720.14236914 229.07109535 430.49246338 734.65968015 686.83458122 1465.19048157 2260.25880853 503.14403858 506.11224216
c4 . . . . . 470.59343229 387.03836381 253.42709993 588.9274987 525.31191247 1132.30042449 124.64720003 718.28028688 1920.17796611 662.42768764 941.6549283
c5 . . . . . . 790.66478578 714.86406967 902.43331588 505.4794308 1593.73739423 594.4940264 724.79200649 1926.68968572 1123.86465738 1310.16899797
c6 . . . . . . . 478.27907052 911.39427595 912.35027628 1454.76720174 511.68556384 473.81726391 1675.71494314 984.89446489 1264.12170555
c7 . . . . . . . . 497.58808659 500.79532287 1040.96101238 128.7798999 809.52099359 2011.41867282 571.08827553 850.31551619
c8 . . . . . . . . . 396.95388508 716.21456982 464.28029867 1242.63619902 2251.51255672 282.50343728 519.32313794
c9 . . . . . . . . . . 1102.52701768 400.66471244 1229.43735888 2431.33503811 632.65428083 805.12390406
c10 . . . . . . . . . . . 1007.65322446 1786.00912481 1974.21063789 518.27130259 686.81053817
c11 . . . . . . . . . . . . 842.92748691 2044.82516614 537.78048761 817.00772827
c12 . . . . . . . . . . . . . 1201.89767923 1316.13638796 1595.36362862
c13 . . . . . . . . . . . . . . 2295.07143068 1975.35646454
c14 . . . . . . . . . . . . . . . 633.31718563
c15 . . . . . . . . . . . . . . . .;
